name
汉
壮
蒙古
回
藏
维吾尔
苗
彝
布依
朝鲜
满
侗
瑶
白
东乡
锡伯
土家
哈尼
哈萨克
傣
黎
傈僳
佤
畲
拉祜
水
纳西
景颇
柯尔克孜
土
高山
达斡尔
仫佬
羌
撒拉
德昂
仡佬
阿昌
普米
布朗
塔吉克
怒
乌孜别克
俄罗斯
鄂温克
毛南
保安
裕固
京
塔塔尔
独龙
鄂伦春
赫哲
门巴
珞巴
基诺
