level,code,type,name
3,140226,县,左云县
2,140300,地级市,阳泉市
3,140302,市辖区,城区
3,140303,市辖区,矿区
3,140311,市辖区,郊区
3,140321,县,平定县
3,140322,县,盂县
2,140400,地级市,长治市
3,140403,市辖区,潞州区
3,140404,市辖区,上党区
3,140405,市辖区,屯留区
3,140406,市辖区,潞城区
3,140423,县,襄垣县
3,140425,县,平顺县
3,140426,县,黎城县
3,140427,县,壶关县
3,140428,县,长子县
3,140429,县,武乡县
3,140430,县,沁县
3,140431,县,沁源县
2,140500,地级市,晋城市
3,140502,市辖区,城区
3,140521,县,沁水县
3,140522,县,阳城县
3,140524,县,陵川县
3,140525,县,泽州县
3,140581,县级市,高平市
2,140600,地级市,朔州市
3,140602,市辖区,朔城区
3,140603,市辖区,平鲁区
3,140621,县,山阴县
3,140622,县,应县
3,140623,县,右玉县
3,140681,县级市,怀仁市
2,140700,地级市,晋中市
3,140702,市辖区,榆次区
3,140703,市辖区,太谷区
3,140721,县,榆社县
3,140722,县,左权县
3,140723,县,和顺县
3,140724,县,昔阳县
3,140725,县,寿阳县
3,140727,县,祁县
3,140728,县,平遥县
3,140729,县,灵石县
3,140781,县级市,介休市
2,140800,地级市,运城市
3,140802,市辖区,盐湖区
3,140821,县,临猗县
3,140822,县,万荣县
3,140823,县,闻喜县
3,140824,县,稷山县
3,140825,县,新绛县
3,140826,县,绛县
3,140827,县,垣曲县
3,140828,县,夏县
3,140829,县,平陆县
3,140830,县,芮城县
3,140881,县级市,永济市
3,140882,县级市,河津市
2,140900,地级市,忻州市
3,140902,市辖区,忻府区
3,140921,县,定襄县
3,140922,县,五台县
3,140923,县,代县
3,140924,县,繁峙县
3,140925,县,宁武县
3,140926,县,静乐县
3,140927,县,神池县
3,140928,县,五寨县
3,140929,县,岢岚县
3,140930,县,河曲县
3,140931,县,保德县
3,140932,县,偏关县
3,140981,县级市,原平市
2,141000,地级市,临汾市
3,141002,市辖区,尧都区
3,141021,县,曲沃县
3,141022,县,翼城县
3,141023,县,襄汾县
3,141024,县,洪洞县
3,141025,县,古县
3,141026,县,安泽县
3,141027,县,浮山县
3,141028,县,吉县
3,141029,县,乡宁县
3,141030,县,大宁县
3,141031,县,隰县
3,141032,县,永和县
3,141033,县,蒲县
3,141034,县,汾西县
3,141081,县级市,侯马市
3,141082,县级市,霍州市
2,141100,地级市,吕梁市
3,141102,市辖区,离石区
3,141121,县,文水县
3,141122,县,交城县
3,141123,县,兴县
3,141124,县,临县
3,141125,县,柳林县
3,141126,县,石楼县
3,141127,县,岚县
3,141128,县,方山县
3,141129,县,中阳县
3,141130,县,交口县
3,141181,县级市,孝义市
3,141182,县级市,汾阳市
1,150000,自治区,内蒙古自治区
2,150100,地级市,呼和浩特市
3,150102,市辖区,新城区
3,150103,市辖区,回民区
3,150104,市辖区,玉泉区
3,150105,市辖区,赛罕区
3,150121,旗,土默特左旗
3,150122,县,托克托县
3,150123,县,和林格尔县
3,150124,县,清水河县
3,150125,县,武川县
2,150200,地级市,包头市
3,150202,市辖区,东河区
3,150203,市辖区,昆都仑区
3,150204,市辖区,青山区
3,150205,市辖区,石拐区
3,150206,市辖区,白云鄂博矿区
3,150207,市辖区,九原区
3,150221,旗,土默特右旗
3,150222,县,固阳县
3,150223,旗,达尔罕茂明安联合旗
2,150300,地级市,乌海市
3,150302,市辖区,海勃湾区
3,150303,市辖区,海南区
3,150304,市辖区,乌达区
2,150400,地级市,赤峰市
3,150402,市辖区,红山区
3,150403,市辖区,元宝山区
3,150404,市辖区,松山区
3,150421,旗,阿鲁科尔沁旗
3,150422,旗,巴林左旗
3,150423,旗,巴林右旗
3,150424,县,林西县
3,150425,旗,克什克腾旗
3,150426,旗,翁牛特旗
3,150428,旗,喀喇沁旗
3,150429,县,宁城县
3,150430,旗,敖汉旗
2,150500,地级市,通辽市
3,150502,市辖区,科尔沁区
3,150521,旗,科尔沁左翼中旗
3,150522,旗,科尔沁左翼后旗
3,150523,县,开鲁县
3,150524,旗,库伦旗
3,150525,旗,奈曼旗
3,150526,旗,扎鲁特旗
3,150581,县级市,霍林郭勒市
2,150600,地级市,鄂尔多斯市
3,150602,市辖区,东胜区
3,150603,市辖区,康巴什区
3,150621,旗,达拉特旗
3,150622,旗,准格尔旗
3,150623,旗,鄂托克前旗
3,150624,旗,鄂托克旗
3,150625,旗,杭锦旗
3,150626,旗,乌审旗
3,150627,旗,伊金霍洛旗
2,150700,地级市,呼伦贝尔市
3,150702,市辖区,海拉尔区
3,150703,市辖区,扎赉诺尔区
3,150721,旗,阿荣旗
3,150722,自治旗,莫力达瓦达斡尔族自治旗
3,150723,自治旗,鄂伦春自治旗
3,150724,自治旗,鄂温克族自治旗
3,150725,旗,陈巴尔虎旗
3,150726,旗,新巴尔虎左旗
3,150727,旗,新巴尔虎右旗
3,150781,县级市,满洲里市
3,150782,县级市,牙克石市
3,150783,县级市,扎兰屯市
3,150784,县级市,额尔古纳市
3,150785,县级市,根河市
2,150800,地级市,巴彦淖尔市
3,150802,市辖区,临河区
3,150821,县,五原县
3,150822,县,磴口县
3,150823,旗,乌拉特前旗
3,150824,旗,乌拉特中旗
3,150825,旗,乌拉特后旗
3,150826,旗,杭锦后旗
2,150900,地级市,乌兰察布市
3,150902,市辖区,集宁区
3,150921,县,卓资县
3,150922,县,化德县
3,150923,县,商都县
3,150924,县,兴和县
3,150925,县,凉城县
3,150926,旗,察哈尔右翼前旗
3,150927,旗,察哈尔右翼中旗
3,150928,旗,察哈尔右翼后旗
3,150929,旗,四子王旗
3,150981,县级市,丰镇市
2,152200,盟,兴安盟
3,152201,县级市,乌兰浩特市
3,152202,县级市,阿尔山市
3,152221,旗,科尔沁右翼前旗
3,152222,旗,科尔沁右翼中旗
3,152223,旗,扎赉特旗
3,152224,县,突泉县
2,152500,盟,锡林郭勒盟
3,152501,县级市,二连浩特市
3,152502,县级市,锡林浩特市
3,152522,旗,阿巴嘎旗
3,152523,旗,苏尼特左旗
3,152524,旗,苏尼特右旗
3,152525,旗,东乌珠穆沁旗
3,152526,旗,西乌珠穆沁旗
3,152527,旗,太仆寺旗
3,152528,旗,镶黄旗
3,152529,旗,正镶白旗
3,152530,旗,正蓝旗
3,152531,县,多伦县
2,152900,盟,阿拉善盟
3,152921,旗,阿拉善左旗
3,152922,旗,阿拉善右旗
3,152923,旗,额济纳旗
1,210000,省,辽宁省
2,210100,地级市,沈阳市
3,210102,市辖区,和平区
3,210103,市辖区,沈河区
3,210104,市辖区,大东区
3,210105,市辖区,皇姑区
3,210106,市辖区,铁西区
3,210111,市辖区,苏家屯区
3,210112,市辖区,浑南区
3,210113,市辖区,沈北新区
3,210114,市辖区,于洪区
3,210115,市辖区,辽中区
3,210123,县,康平县
3,210124,县,法库县
3,210181,县级市,新民市
2,210200,地级市,大连市
3,210202,市辖区,中山区
3,210203,市辖区,西岗区
3,210204,市辖区,沙河口区
3,210211,市辖区,甘井子区
3,210212,市辖区,旅顺口区
3,210213,市辖区,金州区
3,210214,市辖区,普兰店区
3,210224,县,长海县
3,210281,县级市,瓦房店市
3,210283,县级市,庄河市
2,210300,地级市,鞍山市
3,210302,市辖区,铁东区
3,210303,市辖区,铁西区
3,210304,市辖区,立山区
3,210311,市辖区,千山区
3,210321,县,台安县
3,210323,自治县,岫岩满族自治县
3,210381,县级市,海城市
2,210400,地级市,抚顺市
3,210402,市辖区,新抚区
3,210403,市辖区,东洲区
3,210404,市辖区,望花区
3,210411,市辖区,顺城区
3,210421,县,抚顺县
3,210422,自治县,新宾满族自治县
3,210423,自治县,清原满族自治县
2,210500,地级市,本溪市
3,210502,市辖区,平山区
3,210503,市辖区,溪湖区
3,210504,市辖区,明山区
3,210505,市辖区,南芬区
3,210521,自治县,本溪满族自治县
3,210522,自治县,桓仁满族自治县
2,210600,地级市,丹东市
3,210602,市辖区,元宝区
3,210603,市辖区,振兴区
3,210604,市辖区,振安区
3,210624,自治县,宽甸满族自治县
3,210681,县级市,东港市
3,210682,县级市,凤城市
2,210700,地级市,锦州市
3,210702,市辖区,古塔区
3,210703,市辖区,凌河区
3,210711,市辖区,太和区
3,210726,县,黑山县
3,210727,县,义县
3,210781,县级市,凌海市
3,210782,县级市,北镇市
2,210800,地级市,营口市
3,210802,市辖区,站前区
3,210803,市辖区,西市区
3,210804,市辖区,鲅鱼圈区
3,210811,市辖区,老边区
3,210881,县级市,盖州市
3,210882,县级市,大石桥市
2,210900,地级市,阜新市
3,210902,市辖区,海州区
3,210903,市辖区,新邱区
3,210904,市辖区,太平区
3,210905,市辖区,清河门区
3,210911,市辖区,细河区
3,210921,自治县,阜新蒙古族自治县
3,210922,县,彰武县
2,211000,地级市,辽阳市
3,211002,市辖区,白塔区
3,211003,市辖区,文圣区
3,211004,市辖区,宏伟区
3,211005,市辖区,弓长岭区
3,211011,市辖区,太子河区
3,211021,县,辽阳县
3,211081,县级市,灯塔市
2,211100,地级市,盘锦市
3,211102,市辖区,双台子区
3,211103,市辖区,兴隆台区
3,211104,市辖区,大洼区
3,211122,县,盘山县
2,211200,地级市,铁岭市
3,211202,市辖区,银州区
3,211204,市辖区,清河区
3,211221,县,铁岭县
3,211223,县,西丰县
3,211224,县,昌图县
3,211281,县级市,调兵山市
3,211282,县级市,开原市
2,211300,地级市,朝阳市
3,211302,市辖区,双塔区
3,211303,市辖区,龙城区
3,211321,县,朝阳县
3,211322,县,建平县
3,211324,自治县,喀喇沁左翼蒙古族自治县
3,211381,县级市,北票市
3,211382,县级市,凌源市
2,211400,地级市,葫芦岛市
3,211402,市辖区,连山区
3,211403,市辖区,龙港区
3,211404,市辖区,南票区
3,211421,县,绥中县
3,211422,县,建昌县
3,211481,县级市,兴城市
1,220000,省,吉林省
2,220100,地级市,长春市
3,220102,市辖区,南关区
3,220103,市辖区,宽城区
3,220104,市辖区,朝阳区
3,220105,市辖区,二道区
3,220106,市辖区,绿园区
3,220112,市辖区,双阳区
3,220113,市辖区,九台区
3,220122,县,农安县
3,220182,县级市,榆树市
3,220183,县级市,德惠市
3,220184,县级市,公主岭市
2,220200,地级市,吉林市
3,220202,市辖区,昌邑区
3,220203,市辖区,龙潭区
3,220204,市辖区,船营区
3,220211,市辖区,丰满区
3,220221,县,永吉县
3,220281,县级市,蛟河市
3,220282,县级市,桦甸市
3,220283,县级市,舒兰市
3,220284,县级市,磐石市
2,220300,地级市,四平市
3,220302,市辖区,铁西区
3,220303,市辖区,铁东区
3,220322,县,梨树县
