level,code,type,name,revoked
4,513435293,乡,两河乡,revoked
4,513435294,乡,坪坝乡,revoked
4,513435296,乡,阿兹觉乡,revoked
3,513436000,县,美姑县,
4,513436100,镇,巴普镇,
4,513436101,镇,洪溪镇,
4,513436102,镇,新桥镇,
4,513436103,镇,牛牛坝镇,
4,513436104,镇,拉马镇,
4,513436105,镇,候播乃拖镇,
4,513436106,镇,候古莫镇,
4,513436200,乡,觉洛乡,
4,513436201,乡,井叶特西乡,
4,513436202,乡,合姑洛乡,
4,513436208,乡,典补乡,
4,513436217,乡,九口乡,
4,513436218,乡,洛俄依甘乡,
4,513436221,乡,柳洪乡,
4,513436225,乡,峨曲古乡,
4,513436229,乡,龙门乡,
4,513436231,乡,洒库乡,
4,513436235,乡,瓦候乡,
3,513437000,县,雷波县,
4,513437100,镇,锦城镇,
4,513437101,镇,西宁镇,
4,513437102,镇,汶水镇,
4,513437103,镇,黄琅镇,
4,513437104,镇,金沙镇,
4,513437105,镇,永盛镇,
4,513437106,镇,渡口镇,
4,513437107,镇,宝山镇,
4,513437108,镇,马颈子镇,
4,513437109,镇,瓦岗镇,
4,513437110,镇,上田坝镇,
4,513437203,乡,箐口乡,
4,513437214,乡,柑子乡,
4,513437217,乡,桂花乡,
4,513437220,乡,山棱岗乡,
4,513437222,乡,谷堆乡,
4,513437224,乡,拉咪乡,
4,513437227,乡,千万贯乡,
4,513437233,乡,莫红乡,
4,513437237,乡,巴姑乡,
4,513437241,乡,卡哈洛乡,
4,513437290,乡,回龙场乡,revoked
4,513437299,乡,一车乡,revoked
1,520000000,省,贵州省,
2,520100000,地级市,贵阳市,
3,520102000,市辖区,南明区,
4,520102001,街道,五里冲街道,
4,520102002,街道,小车河街道,
4,520102003,街道,新华路街道,
4,520102004,街道,西湖路街道,
4,520102005,街道,中华南路街道,
4,520102006,街道,河滨街道,
4,520102007,街道,遵义路街道,
4,520102008,街道,兴关路街道,
4,520102009,街道,沙冲路街道,
4,520102010,街道,太慈桥街道,
4,520102011,街道,湘雅街道,
4,520102012,街道,油榨街道,
4,520102013,街道,中曹司街道,
4,520102014,街道,二戈街道,
4,520102015,街道,龙洞堡街道,
4,520102016,街道,水口寺街道,
4,520102017,街道,望城街道,
4,520102018,街道,花果园街道,
4,520102019,街道,兰花都街道,
4,520102200,乡,后巢乡,
4,520102201,乡,云关乡,
4,520102202,乡,永乐乡,
