level,code,type,name,revoked
4,512002104,镇,保和镇,
4,512002105,镇,老君镇,
4,512002106,镇,中和镇,
4,512002107,镇,丹山镇,
4,512002108,镇,小院镇,
4,512002109,镇,堪嘉镇,
4,512002110,镇,伍隍镇,
4,512002111,镇,石岭镇,
4,512002112,镇,东峰镇,
4,512002113,镇,南津镇,
4,512002116,镇,丰裕镇,
4,512002117,镇,迎接镇,
4,512002118,镇,祥符镇,
4,512002194,镇,忠义镇,revoked
3,512021000,县,安岳县,
4,512021001,街道,岳城街道,
4,512021002,街道,石桥街道,
4,512021100,镇,岳阳镇,
4,512021101,镇,鸳大镇,
4,512021103,镇,通贤镇,
4,512021104,镇,龙台镇,
