趵突泉
金线泉
皇华泉
柳絮泉
卧牛泉
东高泉
漱玉泉
无忧泉
石湾泉
酒泉
湛露泉
满井泉
北煮糠泉
北珍珠泉
散水泉
溪亭泉
濯缨泉
灰泉
知鱼泉
朱砂泉
刘氏泉
云楼泉
登州泉
望水泉
洗钵泉
浅井泉
马跑泉
舜泉
香泉
鉴泉
杜康泉
金虎泉
黑虎泉
东蜜脂泉
西蜜脂泉
孝感泉
玉环泉
罗姑泉
混沙泉
灰池泉
南珍珠泉
芙蓉泉
滴水泉
灰湾泉
悬清泉
日双桃泉
温泉
汝泉
龙门泉
染池泉
悬泉
都泉
柳泉
车泉
煮糟泉
炉泉
白虎泉
甘露泉
林汲泉
白泉
金沙泉
白龙泉
花泉
独孤泉
醴泉
浆水泉
南煮糠泉
苦苣泉
熨斗泉
鹿泉
龙居泉
百脉泉
