parent,specific,generic
320506011,太湖,街道
320506012,金鸡湖,街道
320506101,甪直,镇
320506104,光福,镇
320506108,木渎,镇
320506109,胥口,镇
320506111,临湖,镇
320506113,东山,镇
320506114,金庭,镇
320507001,元和,街道
320507002,黄桥,街道
320507004,北桥,街道
320507007,太平,街道
320507008,北河泾,街道
320507009,漕湖,街道
320507010,澄阳,街道
320507100,望亭,镇
320507103,黄埭,镇
320507107,渭塘,镇
320507111,阳澄湖,镇
320508002,沧浪,街道
320508003,吴门桥,街道
320508005,双塔,街道
320508008,平江,街道
320508009,苏锦,街道
320508015,金阊,街道
320508016,白洋湾,街道
320508017,虎丘,街道
320509002,松陵,街道
320509003,江陵,街道
320509004,横扇,街道
320509005,八坼,街道
320509101,同里,镇
320509102,平望,镇
320509103,盛泽,镇
320509104,七都,镇
320509105,震泽,镇
320509106,桃源,镇
320509107,黎里,镇
320509600,松陵,镇
320509601,滨湖,街道
320581001,碧溪,街道
320581003,东南,街道
320581004,虞山,街道
320581005,琴川,街道
320581006,莫城,街道
320581007,常福,街道
320581101,梅李,镇
320581102,海虞,镇
320581107,古里,镇
320581108,沙家浜,镇
320581109,支塘,镇
320581111,董浜,镇
320581117,尚湖,镇
320581120,辛庄,镇
320582001,金港,街道
320582002,后塍,街道
320582003,德积,街道
320582100,塘桥,镇
320582103,凤凰,镇
320582105,乐余,镇
320582107,锦丰,镇
320582108,南丰,镇
320582110,杨舍,镇
320582116,大新,镇
320582118,金港,镇
320583100,玉山,镇
320583102,巴城,镇
320583105,周市,镇
320583107,陆家,镇
320583108,花桥,镇
320583110,淀山湖,镇
320583111,张浦,镇
320583112,周庄,镇
320583113,千灯,镇
320583114,锦溪,镇
320585001,娄东,街道
320585002,陆渡,街道
320585100,城厢,镇
320585103,浮桥,镇
320585105,璜泾,镇
320585109,双凤,镇
320585110,沙溪,镇
320585111,浏河,镇
320612001,金沙,街道
320612002,先锋,街道
320612003,兴东,街道
320612004,金新,街道
320612101,西亭,镇
320612102,二甲,镇
320612103,东社,镇
320612104,三余,镇
320612107,十总,镇
320612110,石港,镇
320612112,刘桥,镇
320612114,平潮,镇
320612116,五接,镇
320612117,兴仁,镇
320612119,张芝山,镇
320612120,川姜,镇
320613001,城东,街道
320613002,和平桥,街道
320613003,任港,街道
320613004,新城桥,街道
320613005,虹桥,街道
320613006,学田,街道
320613007,钟秀,街道
320613008,文峰,街道
320613009,观音山,街道
320613010,狼山镇,街道
320613011,新开,街道
320613012,中兴,街道
320613013,小海,街道
320613014,竹行,街道
320613015,江海,街道
320613016,永兴,街道
320613017,唐闸镇,街道
320613018,天生港镇,街道
320613019,秦灶,街道
320613020,陈桥,街道
320613021,幸福,街道
320614001,海门,街道
320614002,滨江,街道
320614003,三厂,街道
320614101,三星,镇
320614102,海永,镇
320614103,常乐,镇
320614104,悦来,镇
320614105,四甲,镇
320614106,余东,镇
320614107,正余,镇
320614108,包场,镇
320614109,临江,镇
320623001,苴镇,街道
320623002,城中,街道
320623003,掘港,街道
320623100,栟茶,镇
320623101,洋口,镇
320623104,长沙,镇
320623109,马塘,镇
320623110,丰利,镇
320623111,曹埠,镇
320623112,岔河,镇
320623113,双甸,镇
320623114,新店,镇
320623115,河口,镇
320623117,袁庄,镇
320623121,大豫,镇
320681100,汇龙,镇
320681102,南阳,镇
320681105,北新,镇
320681107,王鲍,镇
320681108,合作,镇
320681110,吕四港,镇
320681113,海复,镇
320681117,近海,镇
320681118,寅阳,镇
320681120,惠萍,镇
320681122,东海,镇
320681124,启隆,镇
320682001,如城,街道
320682002,城北,街道
320682003,城南,街道
320682103,东陈,镇
320682104,丁堰,镇
320682105,白蒲,镇
320682107,下原,镇
320682108,九华,镇
320682110,石庄,镇
320682111,长江,镇
320682112,吴窑,镇
320682113,江安,镇
320682116,搬经,镇
320682117,磨头,镇
320685001,海安,街道
320685002,孙庄,街道
320685003,胡集,街道
320685004,隆政,街道
320685101,城东,镇
320685102,曲塘,镇
320685103,李堡,镇
320685105,角斜,镇
320685107,大公,镇
320685109,雅周,镇
320685110,白甸,镇
320685112,南莫,镇
320685113,墩头,镇
320703001,墟沟,街道
320703002,连云,街道
320703003,连岛,街道
320703004,板桥,街道
320703005,云山,街道
320703006,海州湾,街道
320703007,宿城,街道
320703008,高公岛,街道
320703009,中云,街道
320703010,猴嘴,街道
320703011,朝阳,街道
320703012,徐圩,街道
320703200,前三岛,乡
320706001,海州,街道
320706002,幸福路,街道
320706003,朐阳,街道
320706004,洪门,街道
320706005,云台,街道
320706006,新浦,街道
320706007,浦西,街道
320706008,新东,街道
320706009,新南,街道
320706010,路南,街道
320706011,新海,街道
320706012,花果山,街道
320706013,南城,街道
320706014,宁海,街道
320706015,郁洲,街道
320706100,新坝,镇
320706101,锦屏,镇
320706102,板浦,镇
320706103,浦南,镇
320707100,青口,镇
320707101,柘汪,镇
320707102,石桥,镇
320707103,金山,镇
320707104,黑林,镇
320707105,厉庄,镇
320707106,海头,镇
320707107,塔山,镇
320707108,赣马,镇
320707109,班庄,镇
320707110,城头,镇
320707111,城西,镇
320707112,宋庄,镇
320707113,沙河,镇
320707114,墩尚,镇
320722001,牛山,街道
320722002,石榴,街道
320722101,白塔埠,镇
320722103,黄川,镇
320722104,石梁河,镇
320722105,青湖,镇
320722107,温泉,镇
320722108,双店,镇
320722109,桃林,镇
320722110,洪庄,镇
320722111,安峰,镇
320722112,房山,镇
320722113,平明,镇
320722114,曲阳,镇
320722115,山左口,镇
320722200,驼峰,乡
320722203,李埝,乡
320722205,石湖,乡
320722207,张湾,乡
320723001,侍庄,街道
320723100,伊山,镇
320723102,杨集,镇
320723103,燕尾港,镇
320723104,同兴,镇
320723105,四队,镇
320723106,圩丰,镇
320723107,龙苴,镇
320723108,下车,镇
320723109,东王集,镇
320723110,图河,镇
320723111,小伊,镇
320723112,南岗,镇
320724100,新安,镇
320724101,堆沟港,镇
320724103,北陈集,镇
320724104,张店,镇
320724105,汤沟,镇
320724106,百禄,镇
320724107,孟兴庄,镇
320724108,三口,镇
320724109,田楼,镇
320724110,新集,镇
320724111,李集,镇
320803001,淮城,街道
320803002,河下,街道
320803004,山阳,街道
320803101,平桥,镇
320803103,朱桥,镇
320803105,施河,镇
320803106,车桥,镇
320803108,流均,镇
320803109,苏嘴,镇
320803110,钦工,镇
320803111,顺河,镇
320803113,博里,镇
320803116,复兴,镇
320803120,范集,镇
320803121,漕运,镇
320803122,石塘,镇
320804006,长江路,街道
320804007,新渡口,街道
320804008,古清口,街道
320804009,王家营,街道
320804103,南陈集,镇
320804104,马头,镇
320804107,丁集,镇
320804109,徐溜,镇
320804110,渔沟,镇
320804114,三树,镇
320804115,高家堰,镇
320804116,淮高,镇
320804117,刘老庄,镇
320812001,府前,街道
320812002,长西,街道
320812003,淮海,街道
320812004,长东,街道
320812005,柳树湾,街道
320812006,水渡口,街道
320812007,清河,街道
320812008,清江,街道
320812009,浦楼,街道
320812010,闸口,街道
320812011,清浦,街道
320812012,城南,街道
320812013,盐河,街道
320812014,武墩,街道
320812015,钵池,街道
320812016,徐杨,街道
320812017,南马厂,街道
320812018,枚乘,街道
320812100,和平,镇
320812103,黄码,镇
320813001,高良涧,街道
320813002,朱坝,街道
320813003,黄集,街道
320813101,蒋坝,镇
320813103,岔河,镇
320813104,西顺河,镇
320813105,老子山,镇
320813106,三河,镇
320813110,东双沟,镇
320826001,涟城,街道
320826002,朱码,街道
320826003,陈师,街道
320826004,保滩,街道
320826101,高沟,镇
320826102,唐集,镇
320826104,大东,镇
320826105,五港,镇
320826106,梁岔,镇
320826107,石湖,镇
320826109,岔庙,镇
320826110,东胡集,镇
320826111,南集,镇
320826113,成集,镇
320826114,红窑,镇
320826117,黄营,镇
320830001,盱城,街道
320830002,太和,街道
320830003,古桑,街道
320830101,马坝,镇
320830102,官滩,镇
320830104,桂五,镇
320830105,管仲,镇
320830106,河桥,镇
320830107,鲍集,镇
320830108,黄花塘,镇
320830111,淮河,镇
320830114,天泉湖,镇
320830115,穆店,镇
320831001,黎城,街道
320831002,戴楼,街道
320831003,金北,街道
320831101,金南,镇
320831103,塔集,镇
320831106,前锋,镇
320831107,吕良,镇
320831111,银涂,镇
320902001,五星,街道
320902002,文峰,街道
320902003,先锋,街道
320902004,伍佑,街道
320902005,新城,街道
320902006,大洋,街道
320902007,黄海,街道
320902008,新洋,街道
320902009,毓龙,街道
320902010,新河,街道
320902011,宝瓶湖,街道
320902012,东亭湖,街道
320902102,新兴,镇
320902104,南洋,镇
320902106,便仓,镇
320902108,步凤,镇
320902115,黄尖,镇
320902116,盐东,镇
320903001,张庄,街道
320903002,潘黄,街道
320903003,新都,街道
320903004,盐龙,街道
320903005,盐渎,街道
320903006,科城,街道
320903103,学富,镇
320903109,龙冈,镇
320903111,郭猛,镇
320903112,大冈,镇
320903113,大纵湖,镇
320903114,楼王,镇
320903115,尚庄,镇
320903116,秦南,镇
320904001,丰华,街道
320904002,大中,街道
320904101,草堰,镇
320904102,白驹,镇
320904103,刘庄,镇
320904106,小海,镇
320904107,西团,镇
320904108,新丰,镇
320904110,大桥,镇
320904111,草庙,镇
320904112,万盈,镇
320904114,南阳,镇
320904116,三龙,镇
320921100,响水,镇
320921101,陈家港,镇
320921102,小尖,镇
320921103,黄圩,镇
320921104,大有,镇
320921105,双港,镇
320921106,南河,镇
320921107,运河,镇
320922001,东坎,街道
320922002,坎南,街道
320922003,坎北,街道
320922101,五汛,镇
320922102,蔡桥,镇
320922103,正红,镇
320922104,通榆,镇
320922105,界牌,镇
320922106,八巨,镇
320922107,八滩,镇
320922108,滨海港,镇
320922109,滨淮,镇
320922110,天场,镇
320922112,陈涛,镇
320923001,阜城,街道
320923002,金沙湖,街道
320923003,花园,街道
320923004,吴滩,街道
320923101,沟墩,镇
320923104,陈良,镇
320923106,三灶,镇
320923107,郭墅,镇
320923108,新沟,镇
320923109,陈集,镇
320923110,羊寨,镇
320923111,芦蒲,镇
320923113,板湖,镇
320923114,东沟,镇
320923115,益林,镇
320923118,古河,镇
320923119,罗桥,镇
320924100,合德,镇
320924101,临海,镇
320924102,千秋,镇
320924104,四明,镇
320924106,海河,镇
320924108,海通,镇
320924109,兴桥,镇
320924110,新坍,镇
320924111,长荡,镇
320924112,盘湾,镇
320924113,特庸,镇
320924114,洋马,镇
320924117,黄沙港,镇
320925001,近湖,街道
320925002,钟庄,街道
320925003,塘河,街道
320925101,建阳,镇
320925102,九龙口,镇
320925103,恒济,镇
320925104,颜单,镇
320925105,沿河,镇
320925106,芦沟,镇
320925107,庆丰,镇
320925108,上冈,镇
320925111,冈西,镇
320925113,宝塔,镇
320925114,高作,镇
320981100,溱东,镇
320981101,时堰,镇
320981106,五烈,镇
320981107,梁垛,镇
320981108,安丰,镇
320981109,南沈灶,镇
320981110,富安,镇
320981112,唐洋,镇
320981113,新街,镇
320981114,许河,镇
320981115,三仓,镇
320981118,头灶,镇
320981121,弶港,镇
320981122,东台,镇
321002001,东关,街道
321002002,汶河,街道
321002003,文峰,街道
321002004,曲江,街道
321002005,汤汪,街道
321002100,湾头,镇
321002101,杭集,镇
321002102,李典,镇
321002103,沙头,镇
321002104,头桥,镇
321002105,泰安,镇
321003001,邗上,街道
321003002,新盛,街道
321003003,蒋王,街道
321003004,汊河,街道
321003005,梅岭,街道
321003006,扬子津,街道
321003007,瘦西湖,街道
321003008,甘泉,街道
321003011,城北,街道
321003012,竹西,街道
321003013,文汇,街道
321003014,双桥,街道
321003015,西湖,街道
321003102,公道,镇
321003104,方巷,镇
321003106,槐泗,镇
321003109,瓜洲,镇
321003118,杨寿,镇
321003120,杨庙,镇
321003122,八里,镇
321003123,施桥,镇
321003200,平山,乡
321012100,仙女,镇
321012101,小纪,镇
321012102,武坚,镇
321012103,樊川,镇
321012104,真武,镇
321012105,宜陵,镇
321012106,丁沟,镇
321012107,郭村,镇
321012108,邵伯,镇
321012109,丁伙,镇
321012110,大桥,镇
321012111,吴桥,镇
321012112,浦头,镇
321023100,安宜,镇
321023101,氾水,镇
321023102,夏集,镇
321023103,柳堡,镇
321023104,射阳湖,镇
321023105,广洋湖,镇
321023106,鲁垛,镇
321023107,小官庄,镇
321023108,望直港,镇
321023109,曹甸,镇
321023110,西安丰,镇
321023111,山阳,镇
321023112,黄塍,镇
321023113,泾河,镇
321081100,真州,镇
321081101,青山,镇
321081103,新集,镇
321081104,新城,镇
321081105,马集,镇
321081106,刘集,镇
321081107,陈集,镇
321081108,大仪,镇
321081109,月塘,镇
321081110,朴席,镇
321084001,高邮,街道
321084002,马棚,街道
321084101,龙虬,镇
321084103,车逻,镇
321084106,汤庄,镇
321084107,卸甲,镇
321084108,三垛,镇
321084109,甘垛,镇
321084112,界首,镇
321084113,周山,镇
321084115,临泽,镇
321084116,送桥,镇
321084200,菱塘|回族,乡
321102001,正东路,街道
321102002,健康路,街道
321102003,大市口,街道
321102004,四牌楼,街道
321102005,谏壁,街道
321102006,象山,街道
321102007,丁卯,街道
321102008,大港,街道
321102100,丁岗,镇
321102101,大路,镇
321102102,姚桥,镇
321111001,宝塔路,街道
321111002,和平路,街道
321111003,官塘桥,街道
321111004,蒋乔,街道
321111005,金山,街道
321111006,韦岗,街道
321111007,七里甸,街道
321111008,南山,街道
321112001,高资,街道
321112002,宜城,街道
321112103,高桥,镇
321112105,辛丰,镇
321112107,谷阳,镇
321112108,上党,镇
321112110,宝堰,镇
321112113,世业,镇
321181001,云阳,街道
321181002,曲阿,街道
321181101,司徒,镇
321181105,延陵,镇
321181106,珥陵,镇
321181109,导墅,镇
321181110,皇塘,镇
321181112,吕城,镇
321181114,陵口,镇
321181117,访仙,镇
321181118,界牌,镇
321181122,丹北,镇
321182001,三茅,街道
321182002,兴隆,街道
321182101,新坝,镇
321182103,油坊,镇
321182104,八桥,镇
321182105,西来桥,镇
321183001,华阳,街道
321183002,崇明,街道
321183003,黄梅,街道
321183102,下蜀,镇
321183103,白兔,镇
321183105,茅山,镇
321183106,后白,镇
321183107,郭庄,镇
321183109,天王,镇
321183112,宝华,镇
321183117,边城,镇
321202001,城东,街道
321202002,城西,街道
321202003,城南,街道
321202004,城中,街道
321202005,城北,街道
321202007,京泰路,街道
321202008,凤凰,街道
321202009,寺巷,街道
321202010,明珠,街道
321202011,红旗,街道
321202100,九龙,镇
321202102,罡杨,镇
321202103,苏陈,镇
321202104,华港,镇
321203001,口岸,街道
321203002,刁铺,街道
321203003,许庄,街道
321203004,沿江,街道
321203102,永安洲,镇
321203103,白马,镇
321203105,大泗,镇
321203106,胡庄,镇
321203107,野徐,镇
321204001,罗塘,街道
321204003,梁徐,街道
321204004,天目山,街道
321204005,三水,街道
321204100,蒋垛,镇
321204101,娄庄,镇
321204102,白米,镇
321204103,俞垛,镇
321204105,大𫭢,镇
321204107,顾高,镇
321204109,张甸,镇
321204113,淤溪,镇
321204115,溱潼,镇
321281001,昭阳,街道
321281002,临城,街道
321281003,垛田,街道
321281100,戴窑,镇
321281101,合陈,镇
321281102,永丰,镇
321281103,新垛,镇
321281104,安丰,镇
321281105,海南,镇
321281106,钓鱼,镇
321281107,大邹,镇
321281108,沙沟,镇
321281109,中堡,镇
321281114,竹泓,镇
321281115,沈𫭢,镇
321281116,大垛,镇
321281117,荻垛,镇
321281118,陶庄,镇
321281119,昌荣,镇
321281121,周庄,镇
321281122,陈堡,镇
321281126,大营,镇
321281128,千垛,镇
321281129,兴东,镇
321281130,戴南,镇
321281207,林湖,乡
321282001,靖城,街道
321282101,新桥,镇
321282102,东兴,镇
321282104,斜桥,镇
321282105,西来,镇
321282106,季市,镇
321282107,孤山,镇
321282109,生祠,镇
321282110,马桥,镇
321283001,济川,街道
321283002,延令,街道
321283003,姚王,街道
321283101,黄桥,镇
321283102,珊瑚,镇
321283103,广陵,镇
321283106,古溪,镇
321283107,元竹,镇
321283108,张桥,镇
321283109,曲霞,镇
321283110,河失,镇
321283113,新街,镇
321283115,宣堡,镇
321283122,分界,镇
321283123,滨江,镇
321283124,虹桥,镇
321283201,根思,乡
321302001,幸福,街道
321302002,项里,街道
321302003,河滨,街道
321302004,古城,街道
321302005,支口,街道
321302006,双庄,街道
321302007,三棵树,街道
321302008,黄河,街道
321302009,洋北,街道
321302010,古楚,街道
321302101,耿车,镇
321302102,埠子,镇
321302107,中扬,镇
321302109,陈集,镇
321302110,洋河,镇
321302111,蔡集,镇
321302112,龙河,镇
321302113,屠园,镇
321302202,南蔡,乡
321311001,顺河,街道
321311002,豫新,街道
321311003,下相,街道
321311004,陆集,街道
321311005,晓店,街道
321311006,井头,街道
321311103,王官集,镇
321311105,仰化,镇
321311111,关庙,镇
321311113,新庄,镇
321311116,来龙,镇
321311117,大兴,镇
321311118,皂河,镇
321311201,曹集,乡
321322001,沭城,街道
321322002,南湖,街道
321322003,梦溪,街道
321322004,十字,街道
321322006,七雄,街道
321322007,章集,街道
321322101,陇集,镇
321322102,胡集,镇
321322105,马厂,镇
321322106,沂涛,镇
321322107,庙头,镇
321322109,华冲,镇
321322111,悦来,镇
321322112,刘集,镇
321322115,扎下,镇
321322116,颜集,镇
321322117,潼阳,镇
321322118,龙庙,镇
321322124,新河,镇
321322126,吴集,镇
321322128,青伊湖,镇
321322129,钱集,镇
321322130,塘沟,镇
321322131,韩山,镇
321322132,桑墟,镇
321322133,李恒,镇
321322134,高墟,镇
321322135,耿圩,镇
321322136,贤官,镇
321322205,西圩,乡
321323001,众兴,街道
321323002,城厢,街道
321323003,来安,街道
321323103,裴圩,镇
321323104,新袁,镇
321323105,李口,镇
321323107,临河,镇
321323112,三庄,镇
321323113,爱园,镇
321323114,卢集,镇
321323115,王集,镇
321323116,穿城,镇
321323200,庄圩,乡
321324001,青阳,街道
321324002,重岗,街道
321324003,大楼,街道
321324102,上塘,镇
321324103,魏营,镇
321324106,孙园,镇
321324107,梅花,镇
321324108,归仁,镇
321324109,金锁,镇
321324110,朱湖,镇
321324113,龙集,镇
321324114,双沟,镇
321324115,界集,镇
321324116,半城,镇
321324117,临淮,镇
321324202,天岗湖,乡
321324203,车门,乡
321324204,瑶沟,乡
321324205,石集,乡
321324600,青阳,镇
330102001,清波,街道
330102003,湖滨,街道
330102004,小营,街道
330102008,南星,街道
330102009,紫阳,街道
330102010,望江,街道
330102011,凯旋,街道
330102012,采荷,街道
330102013,闸弄口,街道
330102014,四季青,街道
330102015,彭埠,街道
330102016,笕桥,街道
330102017,丁兰,街道
330102018,九堡,街道
330105001,米市巷,街道
330105002,湖墅,街道
330105003,小河,街道
330105004,和睦,街道
330105005,拱宸桥,街道
330105007,大关,街道
330105008,上塘,街道
330105009,祥符,街道
330105010,康桥,街道
330105011,半山,街道
330105012,天水,街道
330105013,武林,街道
330105014,长庆,街道
330105015,潮鸣,街道
330105016,朝晖,街道
330105017,文晖,街道
330105018,东新,街道
330105019,石桥,街道
330106002,北山,街道
330106003,灵隐,街道
330106004,西溪,街道
330106005,翠苑,街道
330106006,文新,街道
330106011,转塘,街道
330106012,蒋村,街道
330106013,留下,街道
330106014,古荡,街道
330106015,西湖,街道
330106109,三墩,镇
330106110,双浦,镇
330108001,西兴,街道
330108002,浦沿,街道
330108003,长河,街道
330109001,城厢,街道
330109002,北干,街道
330109003,蜀山,街道
330109004,新塘,街道
330109005,靖江,街道
330109006,南阳,街道
330109012,新街,街道
330109013,闻堰,街道
330109014,宁围,街道
330109015,盈丰,街道
330109100,楼塔,镇
330109101,河上,镇
330109102,戴村,镇
330109103,浦阳,镇
330109104,进化,镇
330109105,临浦,镇
330109106,义桥,镇
330109107,所前,镇
330109108,衙前,镇
330109113,瓜沥,镇
330109115,益农,镇
330109120,党湾,镇
330110005,五常,街道
330110009,仁和,街道
330110010,闲林,街道
330110011,中泰,街道
330110012,余杭,街道
330110013,良渚,街道
330110014,仓前,街道
330110109,径山,镇
330110110,瓶窑,镇
330110111,鸬鸟,镇
330110112,百丈,镇
330110113,黄湖,镇
330111001,富春,街道
330111002,春江,街道
330111003,东洲,街道
330111004,鹿山,街道
330111005,银湖,街道
330111100,万市,镇
330111101,洞桥,镇
330111102,新登,镇
330111103,渌渚,镇
330111104,胥口,镇
330111105,永昌,镇
330111106,大源,镇
330111107,灵桥,镇
330111108,里山,镇
330111109,常绿,镇
330111110,场口,镇
330111111,常安,镇
330111112,龙门,镇
330111200,新桐,乡
330111201,上官,乡
330111202,渔山,乡
330111203,环山,乡
330111204,湖源,乡
330111205,春建,乡
330112001,锦城,街道
330112002,玲珑,街道
330112003,青山湖,街道
330112004,锦南,街道
330112005,锦北,街道
330112100,高虹,镇
330112101,太湖源,镇
330112102,於潜,镇
330112103,天目山,镇
330112104,太阳,镇
330112105,潜川,镇
330112106,昌化,镇
330112107,河桥,镇
330112108,龙岗,镇
330112109,湍口,镇
330112110,清凉峰,镇
330112111,岛石,镇
330112112,板桥,镇
330113001,临平,街道
330113002,南苑,街道
330113003,东湖,街道
330113004,星桥,街道
330113005,乔司,街道
330113006,运河,街道
330113007,崇贤,街道
330113100,塘栖,镇
330114001,下沙,街道
330114002,白杨,街道
330114003,河庄,街道
330114004,义蓬,街道
330114005,新湾,街道
330114006,临江,街道
330114007,前进,街道
330122001,桐君,街道
330122002,旧县,街道
330122003,城南,街道
330122004,凤川,街道
330122101,富春江,镇
330122102,横村,镇
330122105,江南,镇
330122109,分水,镇
330122110,瑶琳,镇
330122112,百江,镇
330122201,莪山|畲族,乡
330122202,钟山,乡
330122204,新合,乡
330122210,合村,乡
330127101,文昌,镇
330127102,石林,镇
330127103,临岐,镇
330127104,威坪,镇
330127106,姜家,镇
330127107,梓桐,镇
330127108,汾口,镇
330127109,中洲,镇
330127110,大墅,镇
330127111,枫树岭,镇
330127112,千岛湖,镇
330127200,里商,乡
330127201,金峰,乡
330127202,富文,乡
330127203,左口,乡
330127205,屏门,乡
330127206,瑶山,乡
330127208,王阜,乡
330127210,宋村,乡
330127211,鸠坑,乡
330127212,浪川,乡
330127214,界首,乡
330127216,安阳,乡
330182001,新安江,街道
330182002,洋溪,街道
330182003,更楼,街道
330182101,莲花,镇
330182102,乾潭,镇
330182104,梅城,镇
330182105,杨村桥,镇
330182106,下涯,镇
330182107,大洋,镇
330182108,三都,镇
330182109,寿昌,镇
330182110,航头,镇
330182111,大慈岩,镇
330182112,大同,镇
330182113,李家,镇
330182202,钦堂,乡
330203001,南门,街道
330203002,江厦,街道
330203003,西门,街道
330203004,月湖,街道
330203005,鼓楼,街道
330203006,白云,街道
330203007,段塘,街道
330203008,望春,街道
330203009,石碶,街道
330203100,高桥,镇
330203101,横街,镇
330203102,集士港,镇
330203103,古林,镇
330203104,洞桥,镇
330203105,鄞江,镇
330203106,章水,镇
330203200,龙观,乡
330205003,孔浦,街道
330205004,文教,街道
330205005,庄桥,街道
330205006,甬江,街道
330205007,洪塘,街道
330205008,前江,街道
330205009,外滩,街道
330205103,慈城,镇
330206001,新碶,街道
330206002,小港,街道
330206003,大碶,街道
330206004,霞浦,街道
330206005,柴桥,街道
330206006,戚家山,街道
330206007,大榭,街道
330206008,梅山,街道
330206009,春晓,街道
330206010,白峰,街道
330206011,郭巨,街道
330211001,招宝山,街道
330211002,蛟川,街道
330211003,骆驼,街道
330211004,庄市,街道
330211005,贵驷,街道
330211100,澥浦,镇
330211101,九龙湖,镇
330212003,下应,街道
330212004,钟公庙,街道
330212006,首南,街道
330212007,中河,街道
330212008,梅墟,街道
330212009,潘火,街道
330212010,百丈,街道
330212011,东胜,街道
330212012,明楼,街道
330212013,白鹤,街道
330212014,东柳,街道
330212015,东郊,街道
330212016,福明,街道
330212017,新明,街道
330212018,聚贤,街道
330212100,瞻岐,镇
330212101,咸祥,镇
330212102,塘溪,镇
330212104,东吴,镇
330212105,五乡,镇
330212106,邱隘,镇
330212108,云龙,镇
330212109,横溪,镇
330212121,姜山,镇
330212123,东钱湖,镇
330213001,锦屏,街道
330213002,岳林,街道
330213003,江口,街道
330213004,西坞,街道
330213005,萧王庙,街道
330213006,方桥,街道
330213007,莼湖,街道
330213008,尚田,街道
330213100,溪口,镇
330213103,裘村,镇
330213104,大堰,镇
330213105,松岙,镇
330225001,丹东,街道
330225002,丹西,街道
330225003,爵溪,街道
330225101,石浦,镇
330225102,西周,镇
330225103,鹤浦,镇
330225104,贤庠,镇
330225105,墙头,镇
330225106,泗洲头,镇
330225107,定塘,镇
330225108,涂茨,镇
330225109,大徐,镇
330225110,新桥,镇
330225200,东陈,乡
330225201,晓塘,乡
330225202,黄避岙,乡
330225203,茅洋,乡
330225204,高塘岛,乡
330226001,跃龙,街道
330226002,桃源,街道
330226003,梅林,街道
330226004,桥头胡,街道
330226101,长街,镇
330226102,力洋,镇
330226104,一市,镇
330226105,岔路,镇
330226106,前童,镇
330226107,桑洲,镇
330226108,黄坛,镇
330226109,大佳何,镇
330226110,强蛟,镇
330226111,西店,镇
330226112,深甽,镇
330226113,茶院,镇
330226200,胡陈,乡
330226202,越溪,乡
330281001,梨洲,街道
330281002,凤山,街道
330281003,兰江,街道
330281004,阳明,街道
330281005,低塘,街道
330281006,朗霞,街道
330281100,临山,镇
330281101,黄家埠,镇
330281102,小曹娥,镇
330281103,泗门,镇
330281106,马渚,镇
330281108,牟山,镇
330281109,丈亭,镇
330281110,三七市,镇
330281111,河姆渡,镇
330281112,大隐,镇
330281113,陆埠,镇
330281114,梁弄,镇
330281115,大岚,镇
330281116,四明山,镇
330281201,鹿亭,乡
330282001,浒山,街道
330282002,宗汉,街道
330282003,坎墩,街道
330282004,白沙路,街道
330282005,古塘,街道
330282006,陆中湾,街道
330282101,龙山,镇
330282104,掌起,镇
330282107,观海卫,镇
330282108,附海,镇
330282109,桥头,镇
330282110,匡堰,镇
330282111,逍林,镇
330282112,新浦,镇
330282113,胜山,镇
330282114,横河,镇
330282116,崇寿,镇
330282118,庵东,镇
330282120,长河,镇
330282121,周巷,镇
330302002,滨江,街道
330302014,松台,街道
330302018,五马,街道
330302021,南汇,街道
330302022,双屿,街道
330302023,仰义,街道
330302024,七都,街道
330302025,蒲鞋市,街道
330302026,广化,街道
330302027,大南,街道
330302028,南郊,街道
330302029,丰门,街道
330302100,藤桥,镇
330302101,山福,镇
330303001,永中,街道
330303002,蒲州,街道
330303003,海滨,街道
330303004,永兴,街道
330303005,海城,街道
330303006,状元,街道
330303007,瑶溪,街道
330303008,沙城,街道
330303009,天河,街道
330303010,星海,街道
330304001,景山,街道
330304002,梧田,街道
330304003,茶山,街道
330304004,南白象,街道
330304005,新桥,街道
330304006,娄桥,街道
330304007,三垟,街道
330304008,瞿溪,街道
330304010,潘桥,街道
330304011,丽岙,街道
330304012,仙岩,街道
330304013,郭溪,街道
330304108,泽雅,镇
330305001,北岙,街道
330305002,东屏,街道
330305003,元觉,街道
330305004,霓屿,街道
330305005,昆鹏,街道
330305011,灵昆,街道
330305100,大门,镇
330305200,鹿西,乡
330324001,乌牛,街道
330324002,东城,街道
330324003,北城,街道
330324004,南城,街道
330324007,三江,街道
330324008,黄田,街道
330324009,瓯北,街道
330324102,桥头,镇
330324105,大若岩,镇
330324109,枫林,镇
330324112,桥下,镇
330324113,碧莲,镇
330324114,巽宅,镇
330324115,岩头,镇
330324116,岩坦,镇
330324117,沙头,镇
330324118,鹤盛,镇
330324119,金溪,镇
330324200,茗岙,乡
330324201,云岭,乡
330324202,溪下,乡
330324203,界坑,乡
330326100,昆阳,镇
330326101,鳌江,镇
330326102,水头,镇
330326103,萧江,镇
330326104,海西,镇
330326105,腾蛟,镇
330326106,南麂,镇
330326107,山门,镇
330326108,顺溪,镇
330326109,南雁,镇
330326110,麻步,镇
330326111,凤卧,镇
330326112,万全,镇
330326113,怀溪,镇
330326214,青街|畲族,乡
330326215,闹村,乡
330327103,宜山,镇
330327104,大渔,镇
330327105,炎亭,镇
