parent,specific,generic
130133102,北王里,镇
130133103,新寨店,镇
130133104,韩村,镇
130133105,南柏舍,镇
130133106,沙河店,镇
130133107,王西章,镇
130133108,谢庄,镇
130133200,前大章,乡
130133202,高村,乡
130181100,辛集,镇
130181101,旧城,镇
130181102,张古庄,镇
130181103,位伯,镇
130181104,新垒头,镇
130181105,新城,镇
130181106,南智丘,镇
130181107,王口,镇
130181200,天宫营,乡
130181201,前营,乡
130181202,马庄,乡
130181203,和睦井,乡
130181204,田家庄,乡
130181205,中里厢,乡
130181206,小辛庄,乡
130183100,晋州,镇
130183101,总十庄,镇
130183102,营里,镇
130183103,桃园,镇
130183104,东卓宿,镇
130183105,马于,镇
130183106,小樵,镇
130183107,槐树,镇
130183108,东里庄,镇
130183201,周家庄,乡
130184001,长寿,街道
130184101,化皮,镇
130184102,承安,镇
130184103,正莫,镇
130184104,南大岳,镇
130184105,杜固,镇
130184106,邯邰,镇
130184107,东王,镇
130184108,马头铺,镇
130184200,协神,乡
130184201,木村,乡
130184202,彭家庄|回族,乡
130202001,学院南路,街道
130202002,友谊,街道
130202003,广场,街道
130202004,永红桥,街道
130202005,小山,街道
130202006,文化北后街,街道
130202007,钱家营矿区,街道
130202008,惠民道,街道
130202009,梁家屯路,街道
130202100,稻地,镇
130202101,女织寨,镇
130203001,乔屯,街道
130203002,文化路,街道
130203003,钓鱼台,街道
130203004,东新村,街道
130203005,缸窑,街道
130203006,机场路,街道
130203007,河北路,街道
130203008,龙东,街道
130203009,大里,街道
130203010,光明,街道
130203011,翔云道,街道
130203012,高新技术开发区,街道
130203100,韩城,镇
130203101,果园,镇
130204001,林西,街道
130204002,唐家庄,街道
130204003,古冶,街道
130204004,赵各庄,街道
130204005,京华,街道
130204100,范各庄,镇
130204101,卑家店,镇
130204201,王辇庄,乡
130204202,习家套,乡
130204203,大庄坨,乡
130205001,马家沟,街道
130205002,开平,街道
130205003,税务庄,街道
130205005,陡电,街道
130205006,荆各庄,街道
130205100,开平,镇
130205101,栗园,镇
130205102,越河,镇
130205103,双桥,镇
130205104,郑庄子,镇
130205105,洼里,镇
130207001,青年路,街道
130207002,新华路,街道
130207003,振兴,街道
130207100,胥各庄,镇
130207103,小集,镇
130207104,黄各庄,镇
130207105,西葛,镇
130207106,大新庄,镇
130207107,钱营,镇
130207108,唐坊,镇
130207109,王兰庄,镇
130207110,柳树𨟠,镇
130207111,黑沿子,镇
130207113,大齐各庄,镇
130207114,海北,镇
130207115,汉丰,镇
130207116,岔河,镇
130207117,南孙庄,镇
130207118,东田庄,镇
130207203,尖字沽,乡
130208001,太平路,街道
130208002,燕山路,街道
130208003,浭阳,街道
130208100,丰润,镇
130208101,老庄子,镇
130208102,任各庄,镇
130208103,左家坞,镇
130208104,泉河头,镇
130208105,王官营,镇
130208106,火石营,镇
130208109,新军屯,镇
130208110,小张各庄,镇
130208111,丰登坞,镇
130208112,李钊庄,镇
130208113,白官屯,镇
130208114,石各庄,镇
130208115,沙流河,镇
130208116,七树庄,镇
130208117,杨官林,镇
130208118,银城铺,镇
130208119,常庄,镇
130208120,姜家营,镇
130208205,欢喜庄,乡
130208208,刘家营,乡
130209001,希望路,街道
130209002,垦丰,街道
130209003,中山路,街道
130209100,唐海,镇
130209101,柳赞,镇
130209102,滨海,镇
130209103,孙塘庄,镇
130209104,双井,镇
130224001,友谊路,街道
130224100,倴城,镇
130224101,宋道口,镇
130224102,长凝,镇
